,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11023,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19694140.0,19694140.0,False,,1,,,,2024-05-05T01:15:00.000Z,63375.50819204601,20648784840.757282,-37.4493,-1.03010107,0.78696772,-0.32976668,-7.4480245,-0.25103427,49.93468482,1248126130905.301,53.279,1330885672032.97,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:16:04.849254
1,1027,Ethereum,ETH,ethereum,8896,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120097745.02430749,120097745.02430749,True,,2,,,,2024-05-05T01:14:00.000Z,3103.078621196657,8452474777.33337,-33.9892,-0.48037039,-0.39776769,-4.72933646,-6.60056769,-12.73095847,36.69540696,372672745038.8558,15.9047,372672745038.86,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
2,825,Tether USDt,USDT,tether,84641,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,110769088394.96867,113086550461.5168,True,,3,,,,2024-05-05T01:14:00.000Z,1.0003523002799914,39509964607.189064,-26.9215,0.01506728,-0.02244543,0.10740518,-0.00439489,-0.09375906,0.04244615,110808112375.82462,4.729,113126390884.91,,2024-05-05T01:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-05-04 18:16:04.849254
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587440.97924352,147587440.97924352,False,,4,,,,2024-05-05T01:14:00.000Z,583.735313313258,582693883.2191209,-31.0159,-0.4533649,-0.50102719,-2.59052654,-1.2300546,48.54124414,92.21959055,86152001101.12068,3.6776,86152001101.12,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
4,5426,Solana,SOL,solana,656,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,447324740.1998414,575228399.8000038,True,,5,,,,2024-05-05T01:14:00.000Z,144.97078989480906,3071932426.473268,-4.8607,-1.05150785,0.75351751,2.12449534,-21.25171562,17.01992442,53.33074343,64849020926.26125,2.7676,83391315488.93,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
5,3408,USDC,USDC,usd-coin,18870,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33565680558.084633,33565680558.084633,False,,6,,,,2024-05-05T01:14:00.000Z,1.0001729286130576,5689799014.716115,-20.3427,0.00472039,0.01030975,0.02515845,0.02888206,0.00128811,-0.01219988,33571485024.669876,1.4327,33571485024.67,,2024-05-05T01:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-05-04 18:16:04.849254
6,52,XRP,XRP,xrp,1312,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55235913166.0,99987652657.0,False,,7,,,,2024-05-05T01:15:00.000Z,0.5293938157094824,681616839.008672,-39.7631,-0.11226622,-0.19842426,1.64521222,-10.53651853,-10.57327107,6.17289783,29241550835.146378,1.248,52939381570.95,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:16:04.849254
7,74,Dogecoin,DOGE,dogecoin,962,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144159346383.70526,144159346383.70526,True,,8,,,,2024-05-05T01:15:00.000Z,0.15793387716047885,2786762284.2343507,103.1598,-1.66058068,4.58500277,6.31710176,-12.02867654,4.00685019,103.68783437,22767644503.299026,0.9736,22767644503.3,,2024-05-05T01:15:00.000Z,,,,,,2024-05-04 18:16:04.849254
8,11419,Toncoin,TON,toncoin,312,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3473236472.898935,5106156169.004257,True,,9,3414166606.0,19541696250.20312,,2024-05-05T01:14:00.000Z,5.7237090351305255,172342058.8928889,-46.9698,-0.82779943,-0.18603687,5.93153555,10.91483318,119.94298789,180.76701074,19879794981.07651,0.8484,29226152199.32,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
9,2010,Cardano,ADA,cardano,1160,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35652370866.839,36855324087.164,False,,10,,,,2024-05-05T01:14:00.000Z,0.45912876218811965,253554312.6630098,-23.6965,-0.73520952,-1.97619013,-2.29091815,-21.27806574,-33.29816143,-6.33321243,16369028905.163567,0.6986,20660794298.47,,2024-05-05T01:14:00.000Z,,,,,,2024-05-04 18:16:04.849254
